Тип;Название;Ккал;Белки;Жиры;Углеводы;МассаПорции;Примечание;Источник
ПРОДУКТ;Bio-skyr клубника-киви;35;6;0;3;0;;
ПРОДУКТ;Bioghurt sans lactose;71;4.8;3.5;4.2;0;;
ПРОДУКТ;Birds trifle kits;83;2.1;2;14.2;0;;
ПРОДУКТ;Biscoitos Com Manteiga De Amendoim;520;7.3;26.7;61.6;0;;
ПРОДУКТ;Biscolata Pia Orange;435;3.4;16.6;67.1;0;;
ПРОДУКТ;Biscotti Cereali e cioccolato;437;8.6;17;58;0;;
ПРОДУКТ;Biscuit Choco Boy Orion 45G Corée;530;8;29;59;0;;
ПРОДУКТ;Biscuits au Son;419;9.2;9.6;70;0;;
ПРОДУКТ;Biskrem;502.9;6.2;23.3;65.6;0;;
ПРОДУКТ;Bitter 56% Dark Chocolate;550;6.9;33;51;0;;
ПРОДУКТ;Bitter Lemon;32;0;0;7.6;0;;
ПРОДУКТ;Bitter Горький шоколад 70% какао;499.6;9.4;38;30;0;;
ПРОДУКТ;Bitter. Горький шоколад 70 % какао;530.35;9.4;38;30;0;;
ПРОДУКТ;Bitterschokolade ohne Zuckerzusatz 72% Kakao Charged;450;10;35;24;0;;
ПРОДУКТ;Bizcolate;468;5.2;26;53;0;;
ПРОДУКТ;Bla Band;155;2.75;6.09;20.3;0;;
ПРОДУКТ;Black Currant;31;1.3;0.2;6.1;0;;
ПРОДУКТ;Black Olive Tapenade;223;1.1;22.7;0.9;0;;
ПРОДУКТ;Black Tea;1.26;0;0.01;0.3;0;;
ПРОДУКТ;Black monster;180;0;0;1;0;;
ПРОДУКТ;Black olives pitted;115;0.84;10.68;6.26;0;;
ПРОДУКТ;Bliss;323.17;3.66;19.51;32.93;0;;
ПРОДУКТ;Blood orange & peach flavours;400;5;20;70;0;;
ПРОДУКТ;Blue energy;3;0.2;0;0.13;0;;
ПРОДУКТ;Blätterteiggebäck;542;6.5;32;56;0;;
ПРОДУКТ;Blütenhonig;306;0.5;0.5;75;0;;
ПРОДУКТ;Bockwurst;312;13;28;2;0;;
ПРОДУКТ;Boiled Chicken Sausages;267.21;13;24;0.5;0;;
ПРОДУКТ;Boisson d'avoine;37;0.4;1.2;5.6;0;;
ПРОДУКТ;Bombbar;352;25;17;6.3;0;;
ПРОДУКТ;Bombbar Coconut Cake;355;25;17.9;6.5;0;;
ПРОДУКТ;Bombbar pancake;281;33;6.3;6.1;0;;
ПРОДУКТ;Bombbar tiramisu;312;33.3;8.83;7;0;;
ПРОДУКТ;Bombbar tropic mix cake;303;25;13;7;0;;
ПРОДУКТ;Bombbar wafer Тирамису;367.5;25;28;12;0;;
ПРОДУКТ;Bon Crème Kokos Migdał;123;2.8;6.3;13.8;0;;
ПРОДУКТ;Boneau Water peach flavour;10;0;0;2.4;0;;
ПРОДУКТ;Boondi хрустящие шарики из нутовой муки;569.2;10.6;40.4;40.8;0;;
ПРОДУКТ;Bostonas steiks;169;20;9;2;0;;
ПРОДУКТ;Boulettes végétariennes à la sauce tomates;106;7.6;4.3;8;0;;
ПРОДУКТ;Bounty;487.72;3.86;25.96;58.95;0;;
ПРОДУКТ;Bounty Ice Cream;346.15;4.1;21.28;33.33;0;;
ПРОДУКТ;Bounty Trio;484;3.7;25.4;58.7;0;;
ПРОДУКТ;Bounty hi protein;420;60;12.57;14.29;0;;
ПРОДУКТ;Bounty мини;484;3.3;25.1;60;0;;
ПРОДУКТ;Braadharing partjes;168;15;12;1;0;;
ПРОДУКТ;Bran;355.8;10.7;4;73;0;;
ПРОДУКТ;Bran Bread;265;8.7;3.8;49;0;;
ПРОДУКТ;Bran cu tărâțe;254.5;8.1;1.7;49.2;0;;
ПРОДУКТ;Brassé bio fraise;97;4.2;2.8;12.9;0;;
ПРОДУКТ;Bratheringsfilets;227;14;14;9.3;0;;
ПРОДУКТ;Bratkartoffeln;98;2.4;2.6;15;0;;
ПРОДУКТ;Bratwurst Sausages;346;21;27.2;2.47;0;;
ПРОДУКТ;Breadsticks with cheese;486;15;14;75;0;;
ПРОДУКТ;Bresaola;184;39;2.8;0.8;0;;
ПРОДУКТ;Bridge Coffee 3 в 1 Капучино;420;3.5;9.5;79;0;;
ПРОДУКТ;Bridge Coffee 3 в 1 лесной орех;430;1.5;12;79;0;;
ПРОДУКТ;Bridge Coffee Моккачино 3 в 1;430;3.5;11;78;0;;
ПРОДУКТ;Brioche pepitas con masa madre;369;8.1;15;48;0;;
ПРОДУКТ;Broadway sourcream & onion;554;6.3;33;56;0;;
ПРОДУКТ;Broileri Kintsuliha Shaslõkk;136;17;5.3;4.7;0;;
ПРОДУКТ;Broileri Rinnafilee Šašlõkk;125;19;4.1;1.6;0;;
ПРОДУКТ;Broileripoolkoivad;128;16;6.7;1;0;;
ПРОДУКТ;Brown Rice Mini Cakes;314;15.6;1.3;60.4;0;;
ПРОДУКТ;Browni;433;6.8;23;49;0;;
ПРОДУКТ;Brownie Chocolate Chunk;519.44;32;11.73;37.33;0;;
ПРОДУКТ;Brownie Вишня;385;12;28;18;0;;
ПРОДУКТ;Brownies;393;4.1;5.1;81;0;;
ПРОДУКТ;Brumik;388;6;15;58;0;;
ПРОДУКТ;Bruni кекс глазированный с какао начинкой;416;3.7;21.5;51.5;0;;
ПРОДУКТ;Bruschette Chips;447;8.8;14;70;0;;
ПРОДУКТ;Bruschette Chips Fine Cheese;447;8.8;14;70;0;;
ПРОДУКТ;Bruschette Chips Pizza Flavour;453;9.1;14;71;0;;
ПРОДУКТ;Brânză proaspătă;114;15.1;5.5;1.1;0;;
ПРОДУКТ;Bubble Gum Chocolate imp;536;6.4;31;56;0;;
ПРОДУКТ;Bubble Gum Sour Blast;40;0.5;0;9.6;0;;
ПРОДУКТ;Bubbly and Serrano chilli potato crisps;499;7;28;53;0;;
ПРОДУКТ;Bucheron;490;8;33;40;0;;
ПРОДУКТ;Buckwheat;359;14.1;1.45;72.4;0;;
ПРОДУКТ;Buckwheat groats roasted;109;4.2;0.8;20;0;;
ПРОДУКТ;Bucuria;501;9.8;25.8;57.4;0;;
ПРОДУКТ;Buldak 3x Spicy chicken flavor ramen;400;10;12.9;60.7;0;;
ПРОДУКТ;Bulgur;375;13.75;1.25;76.25;0;;
ПРОДУКТ;Bulgur Fine Line;331;13;1.9;68;0;;
ПРОДУКТ;Bunte Bärchen;333;5.7;0.5;75.4;0;;
ПРОДУКТ;Buratino;37;0;0;9;0;;
ПРОДУКТ;Burger Cheese Slices;271.03;16;22;3;0;;
ПРОДУКТ;Burger Souse;348;1.2;31;14;0;;
ПРОДУКТ;Burgery Rybne Z Mintaja;150;14;5.6;11;0;;
ПРОДУКТ;Burn Original;56;0;0;13.5;0;;
ПРОДУКТ;Burn apple qiwi;50;0;0;12;0;;
ПРОДУКТ;Burratine;243;12;21;1.5;0;;
ПРОДУКТ;Burro Biologico Di Panna Italiana;751;0.5;83;0.5;0;;
ПРОДУКТ;Burroso Nel Gusto;716;0.1;79;1.1;0;;
ПРОДУКТ;Butter Cookie;500;7.69;17.31;76.92;0;;
ПРОДУКТ;Butter Croissants;370;9.2;16;46;0;;
ПРОДУКТ;Butter Salt Caramel Waffle;469;7.7;19;66;0;;
ПРОДУКТ;Butter Süssrahmbutter;744;0.6;82.5;0.8;0;;
ПРОДУКТ;Butterfly Biscuits;466.67;6.67;20;66.67;0;;
ПРОДУКТ;Butterkeks der Klassiker - Familienpackung;438;7.5;12;73.8;0;;
ПРОДУКТ;Buzhenina Pork;130;22;4;1;0;;
ПРОДУКТ;Bystro Syrniki;204;3.6;8.6;28;0;;
ПРОДУКТ;Bífidus desnatado;40;4.2;0.5;5.5;0;;
ПРОДУКТ;C-moll Hazelnut;542;6.6;32;57;0;;
ПРОДУКТ;CARAMEL & SEA SALT ICE CREAM;238;4;6.9;39.5;0;;
ПРОДУКТ;CASA KAKAU;491;5;35.2;42;0;;
ПРОДУКТ;CHIKA BISCUIT apple strudel;308;30;10.6;10.4;0;;
ПРОДУКТ;CHIKAPIE Печенье протеиновое «Банан в шоколаде;316;25;15;4.3;0;;
ПРОДУКТ;CHIKASPORT Protein white chocolate + almonds;513;19.3;38.7;11.2;0;;
ПРОДУКТ;CHIKASPORT Молочный шоколад с фундуком;543;20;42.5;10.2;0;;
ПРОДУКТ;CHIKASPORT молочный шоколад с кешью;526;21.2;40;21.2;0;;
ПРОДУКТ;CHUVS;392;4;8.7;72.3;0;;
ПРОДУКТ;CREME FRAICHE 18;189;2;18;3.1;0;;
ПРОДУКТ;CROISSANT WITH APRICOT FILLING;404;4;15;51;0;;
ПРОДУКТ;CURVIES ORIGINAL;495;4.7;25;61;0;;
ПРОДУКТ;Cacao;309;24;11;13;0;;
ПРОДУКТ;Cacao Powder;379;25;11;45;0;;
ПРОДУКТ;Cacao Soluble;377;5.7;2.8;78;0;;
ПРОДУКТ;Cacao butter;553.33;4;34;57.33;0;;
ПРОДУКТ;Cacao powder Extra Brute;384;19;23;8.8;0;;
ПРОДУКТ;Cafe Jazz Коктейль орехи и сухофрукты;490;12;29;44;0;;
ПРОДУКТ;Caffe Bonetti;208.1;17.97;9.02;27.82;0;;
ПРОДУКТ;Caffè latte;72;2.8;2.6;8.9;0;;
ПРОДУКТ;Calisma 2ème âge de 6 à 12 mois;476;9.7;22.4;57.2;0;;
ПРОДУКТ;Camembert Classic;288;18;24;0.5;0;;
ПРОДУКТ;Camembert Камамбер Тревиль;258.4;16;21.6;0;0;;
ПРОДУКТ;Camenbert;356;18;31;1.3;0;;
ПРОДУКТ;Can tuna shredded;85;17.8;1.3;0.4;0;;
ПРОДУКТ;Canada Dry;27;0;0;6.5;0;;
ПРОДУКТ;Candi;334;5.4;0.2;76;0;;
ПРОДУКТ;Candy milky Dubai trend;495;12;36;18;0;;
ПРОДУКТ;Cannelloni Spinaci;219;7.6;14;14;0;;
ПРОДУКТ;Cantucci D'Abruzzo pistacchi e cedro;406.25;9.38;12.5;65.62;0;;
ПРОДУКТ;Canónigos y rúcula;26;2.4;0.5;1.5;0;;
ПРОДУКТ;Capellini;358;12;1.3;73;0;;
ПРОДУКТ;Capellini n.1;359;14;2;69.7;0;;
ПРОДУКТ;Cappuccino Candy;449;0.9;11.5;85.4;0;;
ПРОДУКТ;Cappuccino Di Torino;435.29;2.8;10;85.2;0;;
ПРОДУКТ;Cappuccino Karamell;423;2.9;8.5;83;0;;
