Тип;Название;Ккал;Белки;Жиры;Углеводы;МассаПорции;Примечание;Источник
ПРОДУКТ;Чебурек;252;7;8;38;0;;
ПРОДУКТ;Чебурек классический с мясом;260;9.3;12.5;27.5;0;;
ПРОДУКТ;Чебурек с креветкой;303.9;12;18.3;22.8;0;;
ПРОДУКТ;Чебурек с мясом;363;7;23;32;0;;
ПРОДУКТ;Чебуреки С Курицей;185;10.7;3.8;26.4;0;;
ПРОДУКТ;Чебуреки Сочные обжаренные;200;8.5;13;29;0;;
ПРОДУКТ;Чебуреки растительные;250;7;8;38;0;;
ПРОДУКТ;Чебуреки с курицей замороженные;258.8;13.9;13.2;23.8;0;;
ПРОДУКТ;Чебуречки с мясом;240;7;11;27;0;;
ПРОДУКТ;Чевапчичи из мраморной говядины;320;15;27;5;0;;
ПРОДУКТ;Чеддер плавленный сыр;300;16;23;6;0;;
ПРОДУКТ;Челлентани;359;14;2;69.7;0;;
ПРОДУКТ;Чемпедак;121.19;2.1;0.6;26.1;0;;
ПРОДУКТ;Червона сочевиця;366;26;1.5;62;0;;
ПРОДУКТ;Черемуха молотая;103.32;8.4;0;16.8;0;;
ПРОДУКТ;Черемуха сушеная;103.32;8.4;0;16.8;0;;
ПРОДУКТ;Черемша;42;3;0;8;0;;
ПРОДУКТ;Черепаха;85.82;19.8;0.5;0;0;;
ПРОДУКТ;Черешневый компот;83.64;0.5;0;19.9;0;;
ПРОДУКТ;Черешня;55.38;1.1;0.4;11.5;0;;
ПРОДУКТ;Черимойя;75.68;1.7;0.6;15.4;0;;
ПРОДУКТ;Черкизово карпаччо из индейки;150;34;2;0;0;;
ПРОДУКТ;Черкизово хлысты;322;35;18;5;0;;
ПРОДУКТ;Черная Смородина;36.8;1;0.4;7.2;0;;
ПРОДУКТ;Черника;200;0.4;0.2;48;0;;
ПРОДУКТ;Черника 4 сезона;43.7;1.1;0.6;8.2;0;;
ПРОДУКТ;Черника Hortex;34.68;1.1;0.6;6;0;;
ПРОДУКТ;Черника малина;85;2.8;1.9;14.2;0;;
ПРОДУКТ;Черника сушеная;306.62;0.9;0.7;72.3;0;;
ПРОДУКТ;Черничный сок;42.09;0;1;8;0;;
ПРОДУКТ;Черноголовка Кола;19;0;0;4.7;0;;
ПРОДУКТ;Черноплодная рябина;52.7;1.5;0.2;10.9;0;;
ПРОДУКТ;Черноплодно-рябиновый сок;30.75;0.1;0;7.4;0;;
ПРОДУКТ;Чернослив;251.68;2.3;0.7;57.5;0;;
ПРОДУКТ;Черносмородиновый зефир;330.5;0.8;0.1;81.6;0;;
ПРОДУКТ;Черносмородиновый компот;59.15;0.3;0.1;13.9;0;;
ПРОДУКТ;Черносмородиновый сок;34.44;0.5;0;7.9;0;;
ПРОДУКТ;Чернушка посевная (калинджи;265.6;19.8;14.6;11.9;0;;
ПРОДУКТ;Чернушки;9.35;1.5;0.3;0.1;0;;
ПРОДУКТ;Черные маслины без косточки;164;1;16;4;0;;
ПРОДУКТ;Черный Ролл С Куриными Стрипсами;190;7.99;9.65;16.86;0;;
ПРОДУКТ;Черный Чай С Персиком;20;0;0;4.9;0;;
ПРОДУКТ;Черный хлеб;220;5.7;1.2;42.7;0;;
ПРОДУКТ;Черный чай с ароматом бергамота;1;1;1;1;0;;
ПРОДУКТ;Чеснок;153.88;6.5;0.5;29.9;0;;
ПРОДУКТ;Чеснок (стрелки;20.2;1.3;0.1;3.4;0;;
ПРОДУКТ;Чеснок (стрелки маринованные;18.45;1;0;3.5;0;;
ПРОДУКТ;Чеснок Маринованный;65;3.9;0;12.7;0;;
ПРОДУКТ;Чеснок молодой зелёный;45.1;6;0;5;0;;
ПРОДУКТ;Чеснок молодой маринованный;44.28;1.8;0;9;0;;
ПРОДУКТ;Чеснок сушеный;376.82;16;0.4;75;0;;
ПРОДУКТ;Чеснок сушёный;350;18;0.4;69;0;;
ПРОДУКТ;Чеснок чёрный;153.88;6.5;0.5;29.9;0;;
ПРОДУКТ;Чесночный соус;552;0.4;60;2.6;0;;
ПРОДУКТ;Чесночный соус (с зеленым луком и чесноком;280;0.3;28;7;0;;
ПРОДУКТ;Чесночный хлеб;336;4.9;23.6;28.7;0;;
ПРОДУКТ;Чехонь;90.33;17.5;2;0;0;;
ПРОДУКТ;Чечевица (ростки;133.08;9;0.6;22.1;0;;
ПРОДУКТ;Чечевица Агро-Альянс Элитная;371.18;28;2;58;0;;
ПРОДУКТ;Чечевица Агро-Альянс красная;358.88;26;2;57;0;;
ПРОДУКТ;Чечевица Бондюэль консервированная;112.58;8.6;0.6;17.5;0;;
ПРОДУКТ;Чечевица Красная;360;25;2;60;0;;
ПРОДУКТ;Чечевица Мистраль Персидская;330.02;25;1.1;53;0;;
ПРОДУКТ;Чечевица Тарелочная;295;24;1.5;44;0;;
ПРОДУКТ;Чечевица варёная;114.39;7.8;0;20.1;0;;
ПРОДУКТ;Чечевица зеленая;360;28;2;58;0;;
ПРОДУКТ;Чечевица зеленая лайрд;280;21;1;48;0;;
ПРОДУКТ;Чечевица красная колотая;360;25;2;60;0;;
ПРОДУКТ;Чечевица красная шлифованная;294.7;24;1.5;46.3;0;;
ПРОДУКТ;Чечевица крассная;233;38;1.33;38;0;;
ПРОДУКТ;Чечевица натуральная;78.8;4.5;0.4;14.3;0;;
ПРОДУКТ;Чечевица с тушеными овощами и курицей в соусе демиглас;174.9;11.7;7.9;14.2;0;;
ПРОДУКТ;Чечевица сушёная;287.4;24;1.5;42.7;0;;
ПРОДУКТ;Чечевица тарелочная продовольственная;321.9;25;1.1;53;0;;
ПРОДУКТ;Чечевичные котлеты быстрого приготовления;323.84;19.2;2.2;54.8;0;;
ПРОДУКТ;Чечель Копчений;282;20.5;22;0.5;0;;
ПРОДУКТ;Чечил Сыр Турецкий;311;21;25;0.5;0;;
ПРОДУКТ;Чиабата С Сыром;243;8;0.6;50;0;;
ПРОДУКТ;Чиабатта РУСТИК;213;6;0.6;46;0;;
ПРОДУКТ;Чиабатта С Говядиной;249.2;7.7;10.8;30.3;0;;
ПРОДУКТ;Чиабатта С Индейкой И Овощами В Горчичном Соусе;250;7;12;29;0;;
ПРОДУКТ;Чиабатта С Рваной Говядиной;189;7.6;6.3;25.5;0;;
ПРОДУКТ;Чиабатта зерновая;398;7.5;3.8;53.9;0;;
ПРОДУКТ;Чиабатта из Каменной Печи;227.6;7.2;3.6;41.6;0;;
ПРОДУКТ;Чиабатта с ветчиной и горчичным соусом;231;7;13;20;0;;
ПРОДУКТ;Чиабатта с индейкой су-вид и горчичным соусом;302.5;15.9;13.3;29.8;0;;
ПРОДУКТ;Чиабатта с копчёной индейкой;189.3;7.1;14.1;8.5;0;;
ПРОДУКТ;Чиабатта с куриным филе;231;13;8;28;0;;
ПРОДУКТ;Чиабатта с куриным филе и соусом Песто;344.9;15;19.7;26.9;0;;
ПРОДУКТ;Чиабатта с курицей;203.9;13.9;6.6;22.2;0;;
ПРОДУКТ;Чизбраун С Сыром Моцарелла;221;8;14;15;0;;
ПРОДУКТ;Чизбургер Де Люкс;227;14.5;8.3;23.7;0;;
ПРОДУКТ;Чизбургер С Говяжьей Котлетой И Плавленным Сыром;264;9.4;14.3;24.3;0;;
ПРОДУКТ;Чизкейк;390;4.58;21.39;44.8;0;;
ПРОДУКТ;Чизкейк «Нью-Йорк;306;6.2;14.8;37;0;;
ПРОДУКТ;Чизкейк Классический;287.7;6.2;21.6;17;0;;
ПРОДУКТ;Чизкейк Черное Печенье;340;4.7;17.9;38.9;0;;
ПРОДУКТ;Чизкейк без сахара;330;6.5;27;15;0;;
ПРОДУКТ;Чизкейк с пряником;255.5;5.6;18.2;17.3;0;;
ПРОДУКТ;Чизкейк с соленой карамелью без добавления сахара;180;6;13;9;0;;
ПРОДУКТ;Чикен Карри С Рисом Басмати;142;7.5;5;16.7;0;;
ПРОДУКТ;Чикен Макнаггетс McDonalds;45.97;2.8;2.3;3.2;0;;
ПРОДУКТ;Чилз анимейшн;35;0;0;8.5;0;;
ПРОДУКТ;Чили кайенский;330;12;17;32;0;;
ПРОДУКТ;Чили паста;74.54;2.5;0.3;15;0;;
ПРОДУКТ;Чимичурри;150;1;1;35;0;;
ПРОДУКТ;Чип семена черные;462;17.5;29.6;33.4;0;;
ПРОДУКТ;Чипетке;252.86;7.9;1.4;50.6;0;;
ПРОДУКТ;Чипс С Маслиново Масло;427;7.1;11.4;69.4;0;;
ПРОДУКТ;Чипси;517;6.7;30;52;0;;
ПРОДУКТ;Чипсы;530;5;31.3;56.3;0;;
ПРОДУКТ;Чипсы 1916, Гитлер со вкусом хлора;1;1;1;100;0;;
ПРОДУКТ;Чипсы 3D со вкусом куриных крылышек;490;7.3;28;53;0;;
ПРОДУКТ;"Чипсы ;Малосольные огурчики с укропом";520;6;31;53;0;;
ПРОДУКТ;Чипсы CHIPS «Сметана и лук;510;6;31;51;0;;
ПРОДУКТ;Чипсы CRUNCHIPS X-CUT чакалака «вкус Африки;513.6;5.5;31;51;0;;
ПРОДУКТ;Чипсы Crunchips Чакалака;514;5.5;31;51;0;;
ПРОДУКТ;Чипсы Don Nachos кукурузные оригинальные;511.05;7;25;61;0;;
ПРОДУКТ;Чипсы Dr. Diesel;520;6;32;53;0;;
ПРОДУКТ;Чипсы Estrella деревенская сметана и лук;529.37;5.2;30.9;53.9;0;;
ПРОДУКТ;Чипсы Estrella душистый укроп;531.34;5.2;31.2;53.7;0;;
ПРОДУКТ;Чипсы Estrella нежный сыр;533.3;4.9;31.5;53.8;0;;
ПРОДУКТ;Чипсы Estrella сметана и нежный сыр;531.97;4.9;31.4;53.7;0;;
ПРОДУКТ;Чипсы Lays Max сметана и лук;520.6;6;30;53;0;;
ПРОДУКТ;Чипсы Lays Max сметана и сыр;522.65;6.5;30;53;0;;
ПРОДУКТ;Чипсы Lays бекон;522.65;6.5;30;53;0;;
ПРОДУКТ;Чипсы Lays белые грибы со сметаной;530.98;6;32;51;0;;
ПРОДУКТ;Чипсы Lays зелёный лук;522.65;6.5;30;53;0;;
ПРОДУКТ;Чипсы Lays краб;522.65;6.5;30;53;0;;
ПРОДУКТ;Чипсы Lays красная икра;524.7;7;30;53;0;;
ПРОДУКТ;Чипсы Lays малосольные огурчики с укропом;531.94;6.5;31;53;0;;
ПРОДУКТ;Чипсы Lays с солью;525.79;6;31;52;0;;
ПРОДУКТ;Чипсы Lays сметана и зелень;520.6;6;30;53;0;;
ПРОДУКТ;Чипсы Lays сыр;522.65;6.5;30;53;0;;
ПРОДУКТ;Чипсы Lays шашлык;530.98;6;32;51;0;;
ПРОДУКТ;Чипсы Pringles барбекю;542.04;4.9;35;48;0;;
ПРОДУКТ;Чипсы Pringles копчёный бекон;537.67;5.1;34;49;0;;
ПРОДУКТ;Чипсы Pringles оригинальные;552.15;4.1;36;49;0;;
ПРОДУКТ;Чипсы Pringles паприка;529.88;3.2;34;49;0;;
ПРОДУКТ;Чипсы Pringles сметана и лук;536.85;3.9;34;50;0;;
ПРОДУКТ;Чипсы Pringles сыр и лук;537.67;4.1;34;50;0;;
ПРОДУКТ;Чипсы Pringles сырный сыр;542.45;5;35;48;0;;
ПРОДУКТ;Чипсы lay's рифлённые Сметана и лук;530;6;32;53;0;;
ПРОДУКТ;Чипсы «Из Печи. Мусс из лосося и авокадо» смотка;450;6;16;69;0;;
ПРОДУКТ;Чипсы «Лангустины в пикантном соусе;540;6;32;54;0;;
ПРОДУКТ;Чипсы «Лук И Сметана;550;5.5;37;48;0;;
ПРОДУКТ;Чипсы «Острая креветка васаби;540;6;32;54;0;;
ПРОДУКТ;Чипсы «Тако с сальсой;520;6;32;53;0;;
ПРОДУКТ;Чипсы «шашлык и жареный лук;533;6.5;32;53;0;;
ПРОДУКТ;Чипсы Белые Грибы В Сливочном Соусе;570;5.5;40;46;0;;
ПРОДУКТ;Чипсы Джерикатесы;231;42;7;0;0;;
ПРОДУКТ;Чипсы Зеленый Лук;557;7.4;33;54.6;0;;
ПРОДУКТ;Чипсы Из Батата С Трюфелем И Пармезаном;502.4;3.7;22.8;70.6;0;;
ПРОДУКТ;Чипсы Из Батата Со Вкусом Стейка С Чёрным Перцем;534;7.8;30;58.1;0;;
ПРОДУКТ;Чипсы Из Картофеля Со Вкусом Сметаны И Лука;510;6;31;51;0;;
ПРОДУКТ;Чипсы Из Кролика;389;61;13;7;0;;
ПРОДУКТ;Чипсы Из Куриного Филе Сыровяленые;315;70.4;3.4;0.7;0;;
ПРОДУКТ;Чипсы Из Ламинарии С Луком;548.7;18.6;36.5;35.2;0;;
ПРОДУКТ;Чипсы Из Мяса Птицы;332;55;12;1;0;;
ПРОДУКТ;Чипсы Картофельные Extremum Со Вкусом Тайского Перца;510;7;30;53;0;;
ПРОДУКТ;Чипсы Картофельные Белорусские;530;6;29;60;0;;
ПРОДУКТ;Чипсы Картофельные Белорусские С Луком;490;4.5;30;51;0;;
ПРОДУКТ;Чипсы Картофельные Белорусские С Укропом;490;4.5;30;51;0;;
ПРОДУКТ;Чипсы Картофельные Вкус Сыр;550;5.5;37;48;0;;
ПРОДУКТ;Чипсы Картофельные Со Вкусом Холодца С Хреном;510;7;30;53;0;;
ПРОДУКТ;Чипсы Корнерсы Сметана И Зелень;350;6;8;65;0;;
ПРОДУКТ;Чипсы Король И Шут Грибы;550;5.5;37;48;0;;
ПРОДУКТ;Чипсы Краб;498;9;22;66;0;;
ПРОДУКТ;Чипсы Красная Икра;530;6;31;54;0;;
ПРОДУКТ;Чипсы Куриные Про Белок;278.7;59.3;4.3;0.7;0;;
ПРОДУКТ;Чипсы Куриные С Перцем;252;49;4;5;0;;
ПРОДУКТ;Чипсы Лейз со вкусом сметаны и зелени;520;6;32;53;0;;
ПРОДУКТ;Чипсы Лук И Сметана;550;5.5;37;48;0;;
ПРОДУКТ;Чипсы Лэйс;153;3.3;9;3.3;0;;
ПРОДУКТ;Чипсы Мясные Из Курицы Классические;110;23.1;1.2;0;0;;
ПРОДУКТ;Чипсы Мясные Из Курицы С Перцем Чили;110;23.1;1.2;0;0;;
ПРОДУКТ;Чипсы Мясные Из Курицы С Соусом Терияки;110;23.1;1.2;0;0;;
ПРОДУКТ;Чипсы Мясные Из Свинины С Перцем Чили;271;27.34;17.04;0;0;;
ПРОДУКТ;Чипсы Начос со вкусом сладкого тайского перца;500;7;25;61;0;;
ПРОДУКТ;Чипсы Нежный Сыр С Трюфелем;535;6.5;32;53;0;;
ПРОДУКТ;Чипсы Нутовые Нутсы Сыр Чеддер;347;12.8;7.6;60.2;0;;
ПРОДУКТ;Чипсы Олимпия;504;6;31;53;0;;
ПРОДУКТ;Чипсы Пармезан Чеснок;504;5.5;30;53;0;;
ПРОДУКТ;Чипсы Протеиновые;402;70.3;13.5;0;0;;
ПРОДУКТ;Чипсы Пшеничный Рёбрышки На Гриле;390;7;18;50;0;;
ПРОДУКТ;Чипсы Рисовые Томат С Зеленью;336.9;6.7;1.7;73.7;0;;
ПРОДУКТ;Чипсы Рифлёные Колбаски Братвурст По-Немецки;530;6;32;54;0;;
ПРОДУКТ;Чипсы Рифлёные Пряная Креветка;530;6;32;53;0;;
ПРОДУКТ;Чипсы С Вкусом Паприки;494;4.3;25.5;62.5;0;;
ПРОДУКТ;Чипсы С Колбасками И Горчицей;550;5.5;37;48;0;;
ПРОДУКТ;Чипсы С Колбасками гриль;500;5.5;30;53;0;;
ПРОДУКТ;Чипсы С Крабом;550;5.5;37;48;0;;
ПРОДУКТ;Чипсы С Лисичками Из Печи;450;6;16;68;0;;
ПРОДУКТ;Чипсы С Паприкой;504;5.5;30;53;0;;
ПРОДУКТ;Чипсы С Пармезаном;570;5.5;40;46;0;;
ПРОДУКТ;Чипсы С Сметаной И Луком;440;5.5;25;48;0;;
ПРОДУКТ;Чипсы С Солью;551;6;33.5;56.4;0;;
ПРОДУКТ;Чипсы С Сыром;541.4;5.5;33;55.6;0;;
ПРОДУКТ;Чипсы Салями Из Курицы;332;55;12;1;0;;
ПРОДУКТ;Чипсы Сметана И Сыр;510;7;30;53;0;;
ПРОДУКТ;Чипсы Со Вкусом Перец С Солью;520;3.9;30;57;0;;
ПРОДУКТ;Чипсы Со Вкусом Соуса Харисса;508.2;5.5;25.8;63.5;0;;
ПРОДУКТ;Чипсы Соломка Острая Паприка;555.4;5.6;34.6;55.4;0;;
ПРОДУКТ;Чипсы Сыр С Плесенью;504;5.5;30;53;0;;
ПРОДУКТ;Чипсы Тайский Карри;498.4;5.6;23.2;66.8;0;;
ПРОДУКТ;Чипсы Том Ям;547;6.3;33;56.2;0;;
ПРОДУКТ;Чипсы Четыре Сыра;495.2;7.1;24.8;60.9;0;;
ПРОДУКТ;Чипсы банановые;529.44;2.3;33.6;50.7;0;;
ПРОДУКТ;Чипсы из батата с томатом и паприкой;444;3.7;16.8;69.5;0;;
ПРОДУКТ;Чипсы из индейки «Про белок;309.6;66.8;4.4;0.7;0;;
ПРОДУКТ;Чипсы из корнеплодов;503;5.6;37;30;0;;
ПРОДУКТ;Чипсы из ламинарии с паприкой;488.9;15.6;34.1;28.6;0;;
ПРОДУКТ;Чипсы из ламинарии со свеклой;323;10;25;10;0;;
ПРОДУКТ;Чипсы из натурального картофеля Lay's рифленые со вкусом Рождественская утка;530;6;32;53;0;;
ПРОДУКТ;Чипсы из натурального картофеля со вкусом «Ребрышки гриль;520;6;32;53;0;;
ПРОДУКТ;Чипсы из натурального картофеля со вкусом сметаны и зелени;550;5.5;37;48;0;;
ПРОДУКТ;Чипсы из натурального картофеля со вкусом трюфельного соуса;520;3.9;30;57;0;;
ПРОДУКТ;Чипсы из сырого картофеля со вкусом сметана и лук;520;3.9;30;57;0;;
ПРОДУКТ;Чипсы картофельные;518.55;5.5;30;53;0;;
ПРОДУКТ;Чипсы картофельные Naturals классические с солью;527;5.2;34;48;0;;
ПРОДУКТ;Чипсы картофельные Naturals с белыми грибами;522;5.3;33;49;0;;
ПРОДУКТ;Чипсы картофельные Naturals с паприкой;517;5.4;32;50;0;;
ПРОДУКТ;Чипсы картофельные Naturals с пармезаном;514;5.5;32;49;0;;
ПРОДУКТ;Чипсы картофельные Naturals с чесноком и зеленью;514;5.4;32;48;0;;
ПРОДУКТ;Чипсы картофельные «Naturals» с морской солью и перцем;514;5.4;32;49;0;;
ПРОДУКТ;Чипсы картофельные Классические;501;6.9;27;55;0;;
ПРОДУКТ;Чипсы картофельные Соломка с солью;509;5.6;30;52;0;;
ПРОДУКТ;Чипсы картофельные рифлёные со вкусом «Барбекю;508.2;5.5;25.8;63.5;0;;
ПРОДУКТ;Чипсы картофельные рифлёные со вкусом лисичек в сметане;522;5.9;33;51;0;;
ПРОДУКТ;Чипсы картофельные с морской солью, розовым и чёрным перцем;576;5.5;38;53;0;;
ПРОДУКТ;Чипсы картофельные со вкусом бекона;530;6;32;53;0;;
ПРОДУКТ;Чипсы картофельные со вкусом грибов;510.7;6.9;28.7;56.2;0;;
ПРОДУКТ;Чипсы картофельные со вкусом сыра;440;5.5;25;48;0;;
ПРОДУКТ;Чипсы кокосовые;582.77;5.9;35.5;55.8;0;;
ПРОДУКТ;Чипсы кукурузные «Начос» оригинальные;497.13;7;25;61;0;;
ПРОДУКТ;Чипсы кукурузные «Начос» с кусочками оливок и паприкой;470;8;23;60;0;;
ПРОДУКТ;Чипсы кукурузные «Начос» с томатом и паприкой;512.4;7.1;26.8;60.7;0;;
ПРОДУКТ;Чипсы мира;490;4.5;30;51;0;;
ПРОДУКТ;Чипсы нори;518.35;24.9;23.8;47.6;0;;
ПРОДУКТ;Чипсы нори Четыре сыра;590;27;43;23;0;;
ПРОДУКТ;Чипсы нори оригинальные;560;19;38;35;0;;
ПРОДУКТ;Чипсы нори со вкусом кимчи;590;27;43;23;0;;
ПРОДУКТ;Чипсы нутовые;418.2;13.1;15.4;56.8;0;;
ПРОДУКТ;Чипсы нутовые Нутсы сметана и зелень;395;13;15;52;0;;
ПРОДУКТ;Чипсы нутовые Нутсы со вкусом Грибы;379.7;12.7;7.7;64.9;0;;
ПРОДУКТ;Чипсы нутовые Нутсы со вкусом Сметана и зелень;418;13.1;15.4;56.8;0;;
ПРОДУКТ;Чипсы нутовые Нутсы со вкусом Сыр Чеддер;368;13;8;61;0;;
ПРОДУКТ;Чипсы нутовые из нутовой муки;480;12.8;17.8;67.1;0;;
ПРОДУКТ;Чипсы паприка рифлёные;530;6.5;32;53;0;;
ПРОДУКТ;Чипсы пшенично-картофельные запечённые со вкусом сметаны и лука;494;8.1;23.3;60.7;0;;
ПРОДУКТ;Чипсы рисовые Baked CHIPS «Лук порей;410;34;14;34;0;;
ПРОДУКТ;Чипсы рисовые Baked CHIPS «Прованские Травы;420;33;15;33;0;;
ПРОДУКТ;Чипсы рисовые Baked Chips «Паприка и томаты;410;31;16;31;0;;
ПРОДУКТ;Чипсы с копчёным лососем;535.6;6.4;34;51;0;;
ПРОДУКТ;Чипсы с морской капустой кукурузные;544;6.57;31.43;58.57;0;;
ПРОДУКТ;Чипсы со вкусом маринованных томатов;550;5.5;37;48;0;;
ПРОДУКТ;Чипсы со вкусом мраморный стейк;520;6;32;53;0;;
ПРОДУКТ;Чипсы со вкусом сметаны и зелени;510;6;30;53;0;;
ПРОДУКТ;Чипсы со вкусом сметаны и лука;510;6;30;53;0;;
ПРОДУКТ;Чипсы со вкусом соуса песто;498;7.4;26;56;0;;
ПРОДУКТ;Чипсы со вкусом тайского соуса;510;0.5;35;47;0;;
ПРОДУКТ;Чипсы со вкусом халапеньо и сыра;460;5.5;23;58;0;;
ПРОДУКТ;Чипсы фруктовые;333.33;3.2;0;78.1;0;;
ПРОДУКТ;Чипсы цельнозерновые «Томат и базилик;306;8;2;62;0;;
ПРОДУКТ;Чипсы цельнозерновые кукурузно-рисовые с сыром;404;8;10;70;0;;
ПРОДУКТ;Чипсы экструдированные Curvies Paprika;491;4.7;24;61;0;;
ПРОДУКТ;Чипсы яблочные;251.85;2.2;0.1;59;0;;
ПРОДУКТ;Чир (щокур;90.33;17.5;2;0;0;;
ПРОДУКТ;Чисы из вакаме с бананом;566.8;19;33.2;48;0;;
ПРОДУКТ;Чокопай;443;4;16.1;70.5;0;;
ПРОДУКТ;Чорний чай Біола;28;0.02;0;6.8;0;;
ПРОДУКТ;Чудно Верея Прясно Мляко 1,7;48.42;3.3;1.7;4.7;0;;
ПРОДУКТ;Чудо Йогурт - персик маракуйя;94;3.1;2;16;0;;
ПРОДУКТ;Чудо йогур вкус земляника-клубника;84;2.8;1.9;13.9;0;;
ПРОДУКТ;Чудо йогурт;89;2.8;2.4;14;0;;
ПРОДУКТ;Чудо йогурт вкус черник-малина;93.2;2.8;2.4;15.1;0;;
ПРОДУКТ;Чудо йогурт груша в карамели с пломбиром;85;2.8;1.9;14.1;0;;
ПРОДУКТ;Чудо клубника земляника большая бутылка;84;2.8;1.9;13.9;0;;
ПРОДУКТ;Чудо коктейль 0.2л;71;2.8;2;10;0;;
ПРОДУКТ;Чудо пит. Банан - клубника - манго;85;2.8;1.9;14.2;0;;
ПРОДУКТ;Чука;190;2.4;15.6;9.6;0;;
ПРОДУКТ;Чука С Кунжутным Маслом;120;1;10;7;0;;
ПРОДУКТ;Чукучан;89.84;16.7;2.3;0;0;;
ПРОДУКТ;Чупа-чупа (Матизия сердечная;67.16;0.5;0.3;15.2;0;;
ПРОДУКТ;Чурчхела;418.15;5;15;63;0;;
ПРОДУКТ;Чурчхелла Грецкий орех;402.8;7.7;16;57;0;;
ПРОДУКТ;Чёрные оливки без косточек;131;0.9;13;0.1;0;;
ПРОДУКТ;Чёрный Хлеб С Арахисом;266;8.1;4.2;52.2;0;;
ПРОДУКТ;Чёрный тмин мука;412;35;12;41;0;;
ПРОДУКТ;ШАМПИНЬОНЫ РЕЗАНЫЕ СТЕРИЛИЗОВАННЫЕ КОНСЕРВИРОВАННЫЕ;27.6;2.4;0;4.5;0;;
ПРОДУКТ;ШНИЦЕЛЬ ИЗ КУРИНОЙ ГРУДКИ С ПЮРЕ;165;9;9.1;11.5;0;;
ПРОДУКТ;ШОКОЛАД БІЛИЙ З ПІДСОЛОДЖУВАЧЕМ, ЧАЄМ МАТЧА ТА СУБЛІМОВАНИМИ КУЛЬКАМИ МАНГО;532.11;8.2;32;54.8;0;;
ПРОДУКТ;Шаверма На Тарелке;122;4.6;5.3;13;0;;
ПРОДУКТ;Шакшука;117;2.5;5.7;13.9;0;;
ПРОДУКТ;Шакшука По Турецки С Нутом;58;1.9;2;8.1;0;;
ПРОДУКТ;Шалфей;51.69;3.7;0.4;8;0;;
ПРОДУКТ;Шалфей сушеный;246.01;10.6;12.8;20.4;0;;
ПРОДУКТ;Шампанское;21.32;0.2;0;5;0;;
ПРОДУКТ;Шампанское Вдова Клико;1.23;0.1;0;0.2;0;;
ПРОДУКТ;Шампанское Дом Периньон;21.32;0.2;0;5;0;;
ПРОДУКТ;Шампиньоны;36;4.3;0;4.7;0;;
ПРОДУКТ;Шампиньоны 4 сезона нарезанные;28.15;4.5;1;0.1;0;;
ПРОДУКТ;Шампиньоны Hortex резаные;16.43;2.6;0.4;0.5;0;;
ПРОДУКТ;Шампиньоны Hortex целые;16.43;2.6;0.4;0.5;0;;
ПРОДУКТ;Шампиньоны Бондюэль резаные;16.12;2.3;0.5;0.5;0;;
ПРОДУКТ;Шампиньоны Бондюэль резаные замороженные;25.01;2.4;0;3.7;0;;
ПРОДУКТ;Шампиньоны Бондюэль целые;16.12;2.3;0.5;0.5;0;;
ПРОДУКТ;Шампиньоны Каждый день резаные;27.33;4.3;1;0.1;0;;
ПРОДУКТ;Шампиньоны консервированные;12.11;1.6;0.2;0.9;0;;
ПРОДУКТ;Шампиньоны маринованные;35;2.5;0.6;5.1;0;;
ПРОДУКТ;Шампиньоны резаные быстрозамороженные;21.6;2.2;1.2;0.5;0;;
ПРОДУКТ;Шампиньоны с Горяицей и Паприкой, Консервированные;32.5;2.5;0.5;4.5;0;;
ПРОДУКТ;Шампиньоны свежие;27.33;4.3;1;0.1;0;;
ПРОДУКТ;Шаньги;280.52;5.9;9.1;41.9;0;;
ПРОДУКТ;Шарики;378.7;6.3;11.9;61.6;0;;
ПРОДУКТ;Шарики И Звёздочки Медовые;380;7.1;1.3;82.7;0;;
ПРОДУКТ;Шарики Из Цыплят В Панировке;240;15;16;9.5;0;;
ПРОДУКТ;Шарики Хрутка Duo;376;8.82;4.4;70.5;0;;
ПРОДУКТ;Шарики глазированные шоколадным сиропом;370;7.3;3;78.1;0;;
ПРОДУКТ;Шарики и подушечки. Готовый шоколадный завтрак;378;8.6;9.4;64.6;0;;
ПРОДУКТ;Шарики из злаков с шоколадом;390;6;3.5;84;0;;
ПРОДУКТ;Шарики шоколадные;373;8.3;1.7;77.8;0;;
ПРОДУКТ;Шарлиз печенье сдобное;370;3;8;71;0;;
ПРОДУКТ;Шарлотка;252;4.8;2.4;52.8;0;;
ПРОДУКТ;Шатобриан Категории А;128;18.5;6;0;0;;
ПРОДУКТ;Шаурма «По-Мексикански;231.8;10.4;10.2;24.5;0;;
ПРОДУКТ;Шаурма Классическая;277.8;9.9;17;21.3;0;;
ПРОДУКТ;Шаурма С Курицей И Печеным Картофелем;231.1;9.2;9.9;26.3;0;;
ПРОДУКТ;Шаурма С Курицей Классическая;170;6.37;8.98;16.3;0;;
ПРОДУКТ;Шаурма Со Свининой И Овощами;230;7;14;18;0;;
ПРОДУКТ;Шаурма грузинская;252.1;17.7;12.1;18.1;0;;
ПРОДУКТ;Шаурма с копченой курицой жареной;239;6.2;11.7;25.7;0;;
ПРОДУКТ;Шаурма с курицей;230.9;7.8;12.9;20.9;0;;
ПРОДУКТ;Шаурма с курицей и луком фри;266.6;17.6;14.2;17.1;0;;
ПРОДУКТ;Шаурма с курицей и соусом Бургер;91.74;10.7;10.5;20.1;0;;
